Id,SalePrice
1461,114020.2512321769
1462,157698.34178175963
1463,164552.51188415996
1464,193258.85426221878
1465,184999.74249703536
1466,169967.56996415768
1467,188249.56574870495
1468,165950.06267778677
1469,189948.18518043807
1470,117046.98832672909
1471,188587.64292597014
1472,105958.26639737318
1473,98389.41576553506
1474,148453.90632773802
1475,119202.66717678991
1476,341800.94891250465
1477,236747.69253275872
1478,289467.38732240984
1479,278344.46257570665
1480,461273.5796498113
1481,300859.97075784445
1482,202632.7720216715
1483,172794.10012862756
1484,166402.04390166615
1485,198699.8477587378
1486,199541.63746227438
1487,308041.2240499888
1488,231108.2543318559
1489,181619.76131938852
1490,225082.99944762475
1491,198245.17592176242
1492,89162.44100476205
1493,200402.9990537135
1494,291018.68229813874
1495,272533.03504203743
1496,221546.1288952087
1497,170465.44204851965
1498,164340.400264683
1499,162657.89677069997
1500,159642.92549166686
1501,166063.97217395253
1502,155301.0031052192
1503,286390.43163961644
1504,244990.3454468052
1505,223137.55525945255
1506,197519.92757939803
1507,238786.06303335185
1508,194984.19353174022
1509,155261.39864796304
1510,135485.52160937717
1511,147894.15755853473
1512,174141.99989066384
1513,153959.90942956693
1514,142278.35839763944
1515,184728.86662770362
1516,151110.24917709443
1517,159745.73570798844
1518,132415.178056782
1519,205523.64844252937
1520,126462.14925267562
1521,119704.7513922783
1522,180944.52700968587
1523,102444.7706782857
1524,120280.19946082679
1525,109227.72842453662
1526,100209.51648949005
1527,102009.51671664584
1528,148323.18158068813
1529,136558.37035028028
1530,197377.91187913774
1531,119664.50238430582
1532,106505.83610342728
1533,158651.46442975575
1534,132008.32423016848
1535,146557.6808397008
1536,113960.44680270318
1537,59370.78937724352
1538,136912.06063090058
1539,198626.2304007193
1540,87611.80208851557
1541,134709.43216186942
1542,132418.8008185768
1543,163035.97422326318
1544,90753.86836154094
1545,108895.73422178449
1546,140284.09522744786
1547,130607.06163254114
1548,128481.0366148364
1549,114644.86801467904
1550,127286.46602310629
1551,123558.06122693545
1552,128213.91588827237
1553,133845.3088891196
1554,120698.99129224863
1555,153559.97321996698
1556,85554.37531822405
1557,88365.42930006355
1558,107150.6281650151
1559,73767.26525299557
1560,133805.44147499002
1561,116444.16284176004
1562,137415.30416005995
1563,117533.73667060099
1564,154808.7441951784
1565,133552.82544560742
1566,229231.33435417066
1567,80055.263871197
1568,231873.07558208468
1569,120596.89011182297
1570,149095.60058483147
1571,115323.31527223767
1572,140848.58526287912
1573,224559.87247023507
1574,113452.31226560684
1575,219108.90025113832
1576,254862.5964463312
1577,180563.2197590407
1578,139738.27491048074
1579,129339.63473571629
1580,196877.0897701748
1581,160350.55021287105
1582,128209.46056044997
1583,295883.47741051164
1584,219039.53668385887
1585,144929.6732828649
1586,70731.82413374509
1587,103045.7506053974
1588,145978.84567884787
1589,92657.98556610437
1590,138668.36971345783
1591,89874.6144300499
1592,117490.05776591167
1593,134817.68742154117
1594,127904.54354388334
1595,101553.6947673414
1596,198993.85475606582
1597,159021.45221942416
1598,198484.80346331667
1599,176764.47551747767
1600,175362.08398671448
1601,68249.83228775638
1602,117864.36150525419
1603,77296.87145924014
1604,255790.76968519352
1605,249689.89015989695
1606,168818.89492835797
1607,182159.95148859822
1608,227773.12963724948
1609,182787.59205022885
1610,148884.05714769702
