SK_ID_CURR,TARGET
100001,0.0650511535036589
100005,0.12640086286207208
100013,0.081238834817538
100028,0.06150936361445509
100038,0.12830764326246138
100042,0.055893562654302634
100057,0.08303505659957808
100065,0.12547014945404747
100066,0.05035906244185301
100067,0.1032945696770485
100074,0.06324561358749245
100090,0.11512749959390182
100091,0.1171582210451121
100092,0.0981011073804908
100106,0.1558210555533691
100107,0.11181272003296598
100109,0.09856982364431116
100117,0.07621643925456373
100128,0.07349350185004865
100141,0.08792808085047789
100150,0.07549698001080206
100168,0.06499484686526816
100169,0.04432495822613236
100170,0.08690339091889726
100171,0.09982796639888057
100172,0.12153726652090673
100184,0.07391717210447457
100187,0.061739081507788805
100212,0.08580741486609224
100222,0.08476303380360335
100223,0.06309495139766635
100232,0.07324641756621222
100241,0.14118941603018167
100245,0.07944665703269006
100253,0.061443411077204906
100256,0.0945055225006066
100271,0.05483319047297356
100278,0.10646984965464187
100280,0.07066897821557809
100306,0.1538884559946224
100311,0.10708583173122695
100312,0.06354206411778857
100330,0.07495907404325676
100331,0.0894773443603707
100352,0.0928445787337895
100358,0.09300646295957897
100367,0.08562889481562198
100382,0.08528106471159608
100384,0.07421528114337465
100385,0.11568043013464609
100386,0.09037798935695115
100399,0.07180169163277561
100404,0.06926376142877252
100416,0.07177980818878776
100422,0.12102744691321059
100426,0.0794346542050854
100438,0.06845415904714293
100444,0.11472582332051408
100445,0.12338752376867876
100446,0.11718791412933047
100447,0.06484685933662421
100450,0.07368489794081388
100466,0.08577776882932887
100483,0.07288528331888552
100484,0.052560838077373745
100494,0.08403868913148665
100510,0.1255061236427396
100512,0.05955091684647272
100517,0.06955169980080023
100548,0.05836370540743317
100551,0.07007066447882372
100552,0.12561887882021755
100553,0.08592070699338543
100561,0.09290545248633346
100568,0.12349820383732121
100569,0.06932599505218798
100591,0.09532500450649666
100592,0.04786700047993433
100602,0.1076153097821071
100607,0.0791573375212147
100613,0.08342402592094014
100617,0.07819070190652491
100618,0.0914086441033471
100622,0.16354194746655257
100625,0.12431263176237177
100677,0.08352778474211338
100699,0.07670660572911978
100702,0.1367798629986978
100711,0.08414673212557183
100729,0.13700498689615465
100740,0.11816033287164764
100744,0.10482654720052269
100745,0.10250459482496337
100747,0.10006022563221788
100751,0.11105572463681841
100752,0.08554727492674796
100753,0.1457135959780988
100754,0.09584956063196283
100760,0.10778869724450355
100762,0.094147659326635
100763,0.07689646213231559
100765,0.07605647559910429
100770,0.10165115911132185
100772,0.08600916255940481
100777,0.08513413574717502
